GEOID,Asthma_prev,nearest_hw_dist_m,hw_count_5km,ratio_poverty,ratio_uninsured,med_income,ratio_black,ratio_hispanic
1400000US37119005908,8.0,3923.110118598154,13,2.2,4.3,125313.0,15.157232704402515,1.0062893081761006
1400000US37135010706,7.6,2557.663810201832,15,4.4,3.0,127500.0,2.5121324578932342,5.566657151013417
1400000US37119003700,11.1,670.3916079491705,53,21.1,9.2,48588.0,48.50361197110424,4.437564499484004
1400000US37119003500,7.6,670.0719583861563,53,3.5,0.5,110580.0,1.4149139579349903,2.026768642447419
1400000US37127010200,12.5,667.4987246609807,12,17.2,14.4,26157.0,78.26821032320309,2.41196333815726
1400000US37129010300,11.2,805.3939924122803,33,25.8,15.2,37538.0,52.65908392253304,0.9529664924684907
1400000US37121950100,9.4,19241.72655359567,0,14.6,15.1,39135.0,0.0,0.3654080389768575
1400000US37113970302,9.1,4414.067781086793,1,9.0,17.0,48000.0,3.42497670083877,17.031686859273066
1400000US37119002400,8.2,505.5438694085619,54,9.7,11.5,78189.0,7.577497129735936,1.377726750861079
1400000US37125951200,10.1,6859.058900131615,0,13.2,11.4,51420.0,24.53009303208658,8.35390165179419
1400000US37147002002,10.6,10238.357689225046,0,15.0,12.6,52865.0,51.46548399537215,1.889703046664096
1400000US37147000201,11.2,972.3921875927248,17,57.1,6.4,23080.0,21.21001390820584,4.983773759851646
1400000US37133001200,9.4,2524.6142512660617,4,14.3,7.8,60153.0,21.042783022879984,6.566300927107255
1400000US37135010902,9.0,3433.455275547965,3,9.5,11.8,66369.0,13.065076999503228,22.553402881271733
1400000US37149920101,9.3,12070.45829583246,0,5.0,10.9,50526.0,10.783167738164815,14.348334307422562
1400000US37141920204,10.3,15054.683969832256,0,18.8,7.3,50762.0,42.90644171779141,0.651840490797546
1400000US37119005509,9.0,2460.486794628587,13,5.5,6.4,74515.0,48.91320204230489,13.770970094821298
1400000US37119005848,7.9,3690.8868759809134,10,1.3,3.4,158180.0,4.640980735551663,5.691768826619965
1400000US37119005519,8.8,1872.8051482078235,8,7.7,8.6,80067.0,38.34614663416463,9.319332458278645
1400000US37109070901,9.2,5375.915105051886,0,10.6,5.4,52139.0,0.3388786198398028,0.4621072088724584
1400000US37135010703,8.8,321.17356961194287,13,28.2,14.0,37154.0,15.31592249368155,7.396798652064026
1400000US37119001918,10.9,917.8426151030128,31,10.9,22.3,44099.0,54.60674157303372,24.764044943820224
1400000US37119005620,9.7,1742.988992433671,8,7.0,11.1,60167.0,48.58699667528629,14.148503878832654
1400000US37119000100,7.9,191.6825207888552,60,8.3,4.4,113357.0,9.954214007122266,7.851449889774462
1400000US37119006304,8.0,3280.247066209278,3,3.4,7.6,110481.0,8.954164892862211,5.704555129842486
1400000US37119005914,8.6,666.3994848487058,36,4.6,13.9,71875.0,34.495770982433314,16.82498373454782
1400000US37119005404,10.5,1148.5077636037522,38,8.6,11.0,45697.0,68.48472421570636,16.25999589911831
1400000US37119001922,10.6,623.0759912513078,12,15.5,18.0,50076.0,51.847133757961785,19.065817409766456
1400000US37119006404,7.5,2222.603230560412,2,0.5,3.0,162018.0,4.366106080206985,4.34993531694696
1400000US37119004303,10.2,1676.9725080209562,33,12.7,22.9,46771.0,52.69666781174854,17.347990381312265
