GEOID,Asthma_prev,nearest_hw_dist_m,hw_count_5km
1400000US37019020201,9.3,1057.8402873597277,9
1400000US37021001700,8.3,4333.134918604282,4
1400000US37049961202,7.4,630.3836771106049,4
1400000US37051003600,10.8,1152.277774671041,5
1400000US37019020310,8.4,3873.561404633322,2
1400000US37047930600,10.9,15792.790103826916,0
1400000US37037020104,7.3,4875.91670704906,1
1400000US37051003002,10.8,6572.706875406056,0
1400000US37049960402,9.4,1112.533612413354,5
1400000US37021002606,9.3,5540.311792503466,0
1400000US37019020602,10.2,9359.117294429514,0
1400000US37053110402,9.9,15868.299389400046,0
1400000US37031970302,10.0,2450.424673568556,3
1400000US37025040703,10.9,830.3332013133756,12
1400000US37049960700,9.2,1035.3446826000843,6
1400000US37025042503,9.0,1324.8777459786504,13
1400000US37051003103,10.0,1684.4276598339716,4
1400000US37023021301,10.3,5245.219251192314,0
1400000US37057060500,10.2,3451.097386968826,1
1400000US37031970605,8.1,686.1897354084923,6
1400000US37039930200,10.3,123.40144426997436,1
1400000US37053110302,9.2,17275.07033863322,0
1400000US37049960900,10.7,356.8157609277117,6
1400000US37063001100,11.8,652.9726388433799,22
1400000US37035010900,11.9,707.8036014093931,33
1400000US37057061901,9.9,5829.391672582588,0
1400000US37051002200,10.3,794.4928741049873,14
1400000US37021001000,9.4,1506.610068442776,25
1400000US37051002900,10.3,13922.215453220984,0
1400000US37021003002,9.3,2581.8143976186,2
1400000US37057060601,9.8,4588.308991127004,4
1400000US37031970704,9.3,7348.652395634382,0
1400000US37015960200,11.8,14787.02937174319,0
1400000US37051000500,11.9,697.678234968769,20
1400000US37063001001,12.3,712.3609329181453,19
1400000US37049960404,8.4,6171.33776795622,0
1400000US37051003001,9.6,5027.964654551503,0
1400000US37017950400,10.9,1250.901918108755,6
1400000US37045951502,9.6,7698.648746962384,0
1400000US37057060102,8.7,2950.833257785409,1
1400000US37019020512,7.9,1900.016374369804,1
1400000US37031970805,9.5,12057.058779532046,0
1400000US37057060101,9.3,2524.790831681522,9
1400000US37051003401,9.8,2896.905894290161,6
1400000US37063001304,13.0,603.3265084886275,23
1400000US37023020202,9.6,2604.7957310233287,4
1400000US37051003302,11.2,1584.7187401492708,14
1400000US37023021100,9.6,2212.8548508661383,15
1400000US37021001400,9.9,662.0510298239783,23
1400000US37025042300,9.9,663.808880521659,13
1400000US37031970601,9.1,7868.4493121141395,0
1400000US37045951400,10.0,3478.817676545108,1
1400000US37035011101,9.2,2387.039984476106,11
1400000US37047930500,11.2,11738.270163802808,0
1400000US37021002506,10.7,2419.787822509757,8
1400000US37039930601,9.5,12845.650249267024,0
1400000US37059080300,8.7,567.8118466858182,2
1400000US37037020200,8.9,9157.948006025856,0
1400000US37057060302,9.1,1545.544993457445,2
1400000US37035010301,9.4,5003.532198498464,0
1400000US37013931000,10.3,8223.153720370638,0
1400000US37051003310,10.8,1731.1039754281503,11
1400000US37039930400,9.7,3036.524969746057,1
1400000US37061090300,11.6,2076.234664689842,1
1400000US37051002503,9.7,827.755847718746,4
1400000US37013930502,9.7,2174.8176735244456,1
1400000US37061090702,10.8,1004.651257512644,2
1400000US37059080100,9.6,5427.211281156525,0
1400000US37013930800,10.7,3606.7723809614617,1
1400000US37051003307,10.3,869.5367269462735,5
1400000US37023021203,10.4,12070.0797294382,0
1400000US37025042603,9.0,2289.26851875879,12
1400000US37051001800,10.1,799.8046676709606,24
1400000US37055970601,9.3,1168.6531902361453,3
1400000US37027030200,11.1,2397.248355333411,9
1400000US37019020304,7.9,5171.738641321869,0
1400000US37063002016,10.1,702.6440900764958,13
1400000US37031970503,9.1,1300.1045472872242,6
1400000US37019020603,10.5,1809.528338934093,1
1400000US37047931300,10.7,16458.179573059057,0
1400000US37019020507,8.3,765.5551737100807,1
1400000US37041930200,9.7,13484.979464998438,0
1400000US37031970401,10.1,1104.6952977442534,6
1400000US37019020506,9.5,4334.016623127741,1
1400000US37031970802,8.5,3395.1802593019465,1
1400000US37031970702,9.2,7155.415382429718,0
1400000US37025042601,8.4,1757.6736651592716,12
1400000US37021002204,7.8,1807.4616100248716,16
1400000US37027031401,9.8,3982.298860089895,3
1400000US37021000200,10.2,736.1683447481898,26
1400000US37063000401,7.9,1336.654320306552,26
1400000US37027030400,10.3,455.1151207807836,16
1400000US37025042000,10.4,1675.0621343041662,11
1400000US37023020801,9.5,4849.973444168837,1
1400000US37051003404,7.7,3679.7784971523456,2
1400000US37063000402,8.3,594.253967470756,25
1400000US37035010303,9.6,2757.832657025857,12
1400000US37031970701,10.0,5452.603036812188,0
1400000US37063002018,8.1,2330.4007095544384,14
1400000US37051001100,12.2,1946.1855759733385,11
1400000US37063001603,8.5,3040.714002222791,3
1400000US37057061803,9.7,563.2055040146208,12
1400000US37047930700,11.9,5825.787589173742,0
1400000US37019020103,9.0,2834.3745337264004,6
1400000US37031971101,8.4,2703.4545942151794,3
1400000US37059080600,9.3,1137.2314779180813,3
1400000US37021003001,9.1,2144.10879093907,2
1400000US37019020511,8.7,7173.289643292899,0
1400000US37021002607,9.3,2143.6693773685524,6
1400000US37057060202,10.4,3793.0455939978574,3
1400000US37025042402,10.2,957.8566637114432,18
1400000US37059080400,8.9,7788.62277611297,0
1400000US37051002402,11.1,3451.896886740876,13
1400000US37027031000,9.9,13225.67087706694,0
1400000US37019020403,10.2,4679.048187871515,1
1400000US37047931100,10.6,9337.416394495756,0
1400000US37021001900,9.2,986.784999206276,15
1400000US37063002028,8.4,421.9850115722184,48
1400000US37033930200,10.3,25475.874961411544,0
1400000US37021002205,8.6,2291.1501254038503,12
1400000US37035011602,9.7,7861.172114011054,0
1400000US37037020701,7.6,6149.351512863095,0
1400000US37051002002,10.2,808.6179514962208,24
1400000US37047930300,10.3,17519.665927282946,0
1400000US37063001303,12.7,541.9780989966756,22
1400000US37023020900,9.5,1426.5785794007893,4
1400000US37031970102,9.1,19809.752697252465,0
1400000US37021003104,8.8,6080.774892628218,0
1400000US37057060304,9.8,3052.8890557036493,4
1400000US37021002803,10.0,4489.056464808652,3
1400000US37051001000,12.3,1890.1742357401008,20
1400000US37057061802,9.5,5959.743192419072,0
1400000US37021002101,7.3,2726.183977168343,14
1400000US37057060800,11.7,441.8054438430848,12
1400000US37019020504,8.3,4010.043457883553,1
1400000US37063002023,8.7,1310.3243211909162,14
