GEOID,Asthma_prev,nearest_hw_dist_m,hw_count_5km,ratio_poverty,ratio_uninsured,med_income,ratio_black,ratio_hispanic,ln_nearest_hw_dist_m,z_ratio_poverty,z_ratio_uninsured,z_med_income,z_ratio_black,z_ratio_hispanic,ln_nearest_hw_dist_m_x_z_ratio_poverty,ln_nearest_hw_dist_m_x_z_ratio_black
1400000US37001021300,10.0,10906.183350597534,0,8.8,8.9,61203.0,28.148886673313395,4.187437686939183,9.297176874147544,-0.6051226026618739,-0.351175981104512,0.12952019258676245,0.3274376090114574,-0.5794518076004005,-5.625931867491947,3.044245366227487
1400000US37001021600,10.8,3942.1988076559087,6,11.7,8.3,53342.0,11.690718919634582,5.732821395471998,8.279747553011306,-0.3093811138851203,-0.4518745427018264,-0.15980494446265794,-0.4732969925530845,-0.39628352034719616,-2.5615975206382373,-3.918779615939012
1400000US37001020601,8.1,1065.5310542683667,27,4.2,2.5,89306.0,0.9315772566655958,3.629938965628011,6.972166655413757,-1.0742297917560353,-1.425293971475867,1.1638547971535937,-0.9967584824111045,-0.6455299507596601,-7.489709134333493,-6.9495662545675225
1400000US37001022001,9.6,5209.415329994237,0,6.6,7.0,62453.0,11.770524233432244,11.449060336300692,8.558414849419295,-0.8294782148373424,-0.670054759496008,0.1755266066958803,-0.4694142470918092,0.2812399261214577,-7.099018671133719,-4.017441862839518
1400000US37001021000,12.3,871.8836710682518,18,40.2,19.4,23947.0,35.95898974743686,24.706176544136035,6.771802295034375,2.597043862024357,1.4110488468484919,-1.2416917786526736,0.70742035477235,1.8525540640266018,17.58666758516148,4.790510782001431
1400000US37001021802,9.6,10845.88392482786,0,9.7,9.5,52132.0,2.8319529788939355,0.4541811381244991,9.291633121851575,-0.5133407613173643,-0.2504774195071975,-0.20433915332028404,-0.9043000374896581,-1.0219401062329818,-4.7697740206529256,-8.402424180430529
1400000US37011930302,10.1,12481.24543409998,0,20.8,12.6,36552.0,0.1948558067030397,1.363990646921278,9.432062548343453,0.61863528193159,0.2697984820789274,-0.777763098776329,-1.0326019836761804,-0.914103943257509,5.8350066737908435,-9.739566497577258
1400000US37011930301,10.0,9715.055711499665,0,18.9,22.9,31180.0,0.8302583025830259,8.979089790897909,9.181535024101061,0.424873616870958,1.9984571228328265,-0.9754802640516739,-1.001687924955528,-0.011516023012248171,3.900991994117196,-9.197032766198294
1400000US37001021901,9.5,5559.794611935943,0,7.9,9.5,71639.0,3.7559659680431614,5.16704710520855,8.623496292848953,-0.6969044440063837,-0.2504774195071975,0.5136185427009656,-0.8593442937045407,-0.46334253433009953,-6.009752889359011,-7.410552331042009
1400000US37003040500,9.8,4065.371256660412,3,10.3,10.8,39367.0,1.097491448118586,14.18187001140251,8.310506297609878,-0.4521528670876909,-0.03229720271301593,-0.6741566542025956,-0.9886863059710924,0.6051491693815801,-3.757619249414618,-8.21648377213341
1400000US37001020400,11.8,2799.327835590877,11,26.8,16.6,32773.0,58.58286391935962,21.0495108212274,7.937491773449081,1.230514224228322,0.9411222260610246,-0.9168496899110141,1.808133334614932,1.4191437764556478,9.767196531924384,14.352043468805078
1400000US37013930100,10.0,25805.545651237,0,13.4,7.6,42730.0,29.75306163421,5.741818911865088,10.158383446143713,-0.1360154135677128,-0.5693561978986935,-0.550380997683425,0.40548508169359937,-0.39521707991680005,-1.3816967256066446,4.11907294153449
