GEOID,Asthma_prev,geometry
1400000US37043950100,9.0,POINT (-83.70893392 35.06768567)
1400000US37045950302,9.9,POINT (-81.40069143 35.29379251)
1400000US37021002503,9.2,POINT (-82.71968898 35.54354254)
1400000US37019020303,8.8,POINT (-78.19742124 33.96338426)
1400000US37035011200,9.2,POINT (-81.22853938 35.66657008)
1400000US37061090501,9.7,POINT (-77.77174858 34.98066037)
1400000US37019020405,9.4,POINT (-78.26285674 33.97130908)
1400000US37049961301,9.5,POINT (-76.91878071 34.85448296)
1400000US37039930500,8.9,POINT (-84.02873638 35.03733713)
1400000US37021002102,10.2,POINT (-82.51437535 35.5420643)
1400000US37047930200,11.2,POINT (-78.36902166 34.27554647)
1400000US37063000500,10.6,POINT (-78.9213518 35.99821999)
1400000US37051001901,10.7,POINT (-78.96590254 34.99773218)
1400000US37059080700,10.1,POINT (-80.51827836 35.82487953)
1400000US37033930100,10.9,POINT (-79.21842981 36.49528788)
1400000US37037020106,8.6,POINT (-79.1709176 35.83193955)
1400000US37019020404,9.4,POINT (-78.30452648 33.96595348)
1400000US37035011401,9.7,POINT (-81.13440886 35.69647572)
1400000US37051002600,9.6,POINT (-78.76733183 35.15388464)
1400000US37051001400,11.6,POINT (-78.81762171 35.01825733)
1400000US37063002300,10.0,POINT (-78.90150912 35.98734844)
1400000US37021002604,9.3,POINT (-82.67960226 35.6938627)
1400000US37025041200,8.9,POINT (-80.68400896 35.46981211)
1400000US37035010102,8.9,POINT (-81.17168611 35.7202192)
1400000US37021002401,10.0,POINT (-82.75499427 35.48529)
1400000US37063002007,8.1,POINT (-78.93781398 35.95039635)
1400000US37055970400,8.4,POINT (-75.59967038 35.89350841)
1400000US37063002020,7.7,POINT (-78.94287731 35.8825004)
1400000US37057061702,10.6,POINT (-80.40433977 35.8134571)
1400000US37027030800,10.3,POINT (-81.57148738 35.82458627)
1400000US37019020101,11.2,POINT (-78.08116091 34.32025763)
1400000US37021003202,8.7,POINT (-82.46171082 35.49268322)
1400000US37063001709,12.0,POINT (-78.88411626 36.04743955)
1400000US37019020203,9.9,POINT (-78.06939606 34.13513642)
1400000US37029950101,9.6,POINT (-76.3071734 36.45856332)
1400000US37049960101,8.1,POINT (-76.97243492 35.09592677)
1400000US37051000702,8.5,POINT (-78.91075836 35.04891894)
1400000US37019020307,7.9,POINT (-77.97499033 33.88311705)
1400000US37047930100,10.6,POINT (-78.26245265 34.32935584)
1400000US37063000101,10.4,POINT (-78.88425279 36.0241739)
1400000US37031970901,7.7,POINT (-77.08058509 34.65770543)
1400000US37025042102,10.4,POINT (-80.5895251 35.37333584)
1400000US37025041902,11.2,POINT (-80.59265151 35.41378373)
1400000US37045951100,12.0,POINT (-81.55313034 35.29222452)
1400000US37045950101,10.6,POINT (-81.59258597 35.50911826)
1400000US37057062001,9.8,POINT (-80.15593072 35.6042594)
1400000US37051002800,9.5,POINT (-78.70596872 35.01360335)
1400000US37021001200,8.4,POINT (-82.6094903 35.57070462)
1400000US37031970502,8.3,POINT (-76.74398815 34.74640048)
1400000US37025041702,9.3,POINT (-80.39998976 35.46050047)
1400000US37063002100,8.6,POINT (-78.87284265 36.17456627)
1400000US37063001806,9.8,POINT (-78.79114782 36.01954506)
1400000US37025041302,8.2,POINT (-80.72153257 35.42438539)
1400000US37047931000,10.5,POINT (-78.72673611 34.26955644)
1400000US37063001706,8.4,POINT (-78.96800945 36.01805616)
1400000US37035011501,9.3,POINT (-81.06035467 35.6354003)
1400000US37051001903,11.0,POINT (-78.96814963 35.02531899)
1400000US37025040900,9.7,POINT (-80.61485429 35.46406731)
1400000US37037020402,10.3,POINT (-79.46456997 35.7484685)
1400000US37021003205,9.2,POINT (-82.27013783 35.52691473)
1400000US37045951602,10.6,POINT (-81.50794939 35.23104361)
1400000US37057061201,10.6,POINT (-80.24332642 35.84638305)
1400000US37057060203,9.4,POINT (-80.22790914 35.94863113)
1400000US37051003800,12.3,POINT (-78.8760511 35.05973195)
1400000US37061090802,10.5,POINT (-78.08014279 34.78835546)
1400000US37025041501,8.5,POINT (-80.63685735 35.31207271)
1400000US37015960400,11.0,POINT (-76.87093629 35.95918311)
1400000US37045951000,10.4,POINT (-81.52587081 35.29062355)
1400000US37031970603,10.4,POINT (-76.8612388 34.74666177)
1400000US37031970903,8.0,POINT (-76.98388435 34.67464554)
1400000US37049961002,9.4,POINT (-77.00616415 35.04896894)
1400000US37021001100,8.4,POINT (-82.59205611 35.57379892)
1400000US37027030600,9.8,POINT (-81.47884902 35.85529063)
1400000US37057061600,11.2,POINT (-80.28379765 35.81464571)
1400000US37045950700,10.3,POINT (-81.48722926 35.28271217)
1400000US37053110200,9.1,POINT (-76.1607023 36.50347863)
1400000US37049960200,10.7,POINT (-77.14887511 35.30818731)
1400000US37021002701,8.2,POINT (-82.5966597 35.66987616)
1400000US37049960500,10.5,POINT (-77.11817342 35.14708538)
1400000US37021002702,8.5,POINT (-82.5789931 35.70719565)
1400000US37055970102,8.5,POINT (-75.71847146 36.07196806)
1400000US37033930600,9.7,POINT (-79.2428545 36.3252699)
1400000US37063002025,8.7,POINT (-78.9057255 35.92976558)
1400000US37053110102,9.6,POINT (-75.94887891 36.52072565)
1400000US37051003407,8.1,POINT (-78.9826563 35.12202907)
1400000US37025041100,9.2,POINT (-80.63469975 35.4589246)
1400000US37045950601,10.0,POINT (-81.42009998 35.23982992)
1400000US37031970403,8.1,POINT (-76.73553784 34.72186349)
1400000US37063001808,8.2,POINT (-78.81299639 35.95945993)
1400000US37063000700,8.6,POINT (-78.91447795 35.98270939)
1400000US37025040500,9.5,POINT (-80.53611458 35.36611388)
1400000US37049960800,12.6,POINT (-77.05141936 35.11714143)
1400000US37063000302,8.3,POINT (-78.90455101 36.01115913)
