GEOID,ratio_white,ratio_black,ratio_asian,ratio_hispanic,ratio_other_race,ratio_male,ratio_female,ratio_poverty,ratio_unemployed,ratio_uninsured,med_income
1400000US37017950400,42.76389110014329,53.38321923260627,0.0,3.120522209839198,0.7323674574112402,46.1,53.9,33.1,0.5,10.9,33146.0
1400000US37017950500,75.32350285886248,20.55371652121577,0.0,2.6181161600962986,1.504664459825459,46.7,53.3,9.4,3.0,7.2,46859.0
1400000US37017950600,33.362308762169675,52.60778859527121,0.0,2.2079276773296246,11.821974965229485,50.9,49.1,22.6,1.8,13.8,31450.0
1400000US37019020101,37.43148003132342,42.52153484729836,0.7830853563038371,13.116679718089271,6.1472200469851215,45.6,54.4,20.8,4.3,20.5,35014.0
1400000US37019020102,71.4423447743926,11.087543386039336,0.2699575780948708,8.735055919784033,8.118010026995757,47.8,52.2,12.8,4.8,13.2,60842.0
1400000US37019020103,80.03135849479224,7.335647888901333,2.497480120954194,9.37395005039758,0.7615634449546421,49.6,50.4,16.1,2.3,5.4,64811.0
1400000US37019020104,59.3707015130674,26.461485557083908,0.0,10.35075653370014,3.817056396148556,48.1,51.9,16.1,5.4,13.4,43657.0
1400000US37019020201,66.36722173531989,19.149868536371603,4.206836108676599,4.710780017528484,5.565293602103418,48.6,51.4,11.3,3.3,11.1,60441.0
1400000US37019020202,83.24220006432937,8.25560201565348,0.5146349308459311,0.7933955183874772,7.044065615953683,51.5,48.5,8.0,1.8,3.6,80970.0
1400000US37019020203,78.60262008733623,12.22707423580786,0.0,5.349344978165939,3.820960698689956,49.0,51.0,9.7,3.9,12.0,53780.0
1400000US37019020204,78.7206075653571,4.805024098145173,0.0,12.384986125310354,4.089382211187381,46.1,53.9,10.0,5.2,11.8,48214.0
1400000US37019020303,88.43385455448002,4.293869446512782,0.6205013651030032,4.492429883345744,2.1593447505584518,48.5,51.5,15.3,2.8,5.6,58479.0
1400000US37019020304,96.67039383774382,0.3105975897627034,0.0,1.826313827804696,1.1926947446887812,47.0,53.0,7.4,1.4,5.2,90454.0
1400000US37019020305,86.26118067978533,7.119856887298748,0.0,4.901610017889087,1.7173524150268336,38.6,61.4,12.3,1.5,7.4,53125.0
1400000US37019020306,91.23211813567144,4.014766958929396,0.0,1.5228426395939088,3.2302722658052603,42.4,57.6,6.1,0.9,7.0,67366.0
1400000US37019020307,94.34782608695652,0.0,0.0,5.652173913043479,0.0,47.0,53.0,1.5,0.0,0.0,108958.0
1400000US37019020308,99.0506329113924,0.0,0.0,0.0,0.949367088607595,48.7,51.3,13.8,2.5,9.7,73393.0
1400000US37019020309,99.4946091644205,0.0,0.0,0.5053908355795148,0.0,49.6,50.4,4.4,1.6,6.5,65991.0
1400000US37019020310,97.46884735202492,0.0,1.0514018691588785,0.4672897196261681,1.0124610591900312,48.9,51.1,5.5,0.7,6.5,84464.0
1400000US37019020402,96.81697612732096,0.618921308576481,0.0,0.7368110816386678,1.827291482463896,54.5,45.5,13.5,0.8,9.1,66750.0
1400000US37019020403,81.5967016491754,8.976761619190404,1.068215892053973,6.840329835082459,1.5179910044977512,48.0,52.0,20.2,5.8,19.8,42870.0
1400000US37019020404,79.14285714285715,16.892857142857142,0.0,1.1785714285714286,2.7857142857142856,49.7,50.3,7.3,3.8,13.0,37361.0
1400000US37019020405,94.6256038647343,3.230676328502416,0.0,1.117149758454106,1.0265700483091789,48.9,51.1,19.5,2.9,19.9,48583.0
1400000US37019020504,85.72127139364302,8.85085574572127,0.0,5.427872860635697,0.0,45.7,54.3,6.4,0.0,2.2,71375.0
1400000US37019020505,70.2846975088968,19.26156583629893,1.5569395017793597,5.093416370106762,3.8033807829181496,53.1,46.9,20.8,4.9,17.9,41995.0
1400000US37019020506,80.17563527653215,11.86472346786248,0.0,5.62406576980568,2.335575485799701,47.0,53.0,18.1,1.6,5.8,60790.0
1400000US37019020507,90.65322686215474,6.466815028145046,0.0,0.9425317449928002,1.9374263647074224,45.0,55.0,5.3,3.0,5.0,61101.0
1400000US37019020508,93.68315508021392,2.941176470588235,1.8716577540106951,0.9358288770053476,0.5681818181818182,48.4,51.6,9.0,5.4,1.4,72679.0
1400000US37019020509,94.79530960707676,1.0491668380991566,0.1645751902900637,0.1028594939312898,3.888088870602756,49.7,50.3,18.8,3.4,9.0,55875.0
1400000US37019020510,87.83717508582637,0.4413928396272682,0.980872976949485,6.718979892103973,4.0215792054928885,41.0,59.0,18.7,0.9,7.5,53047.0
1400000US37019020511,98.71475953565506,0.0,0.0,0.0,0.8291873963515755,51.1,48.9,12.5,0.9,11.2,49771.0
1400000US37019020512,95.60085836909872,0.0,0.6437768240343348,2.896995708154506,0.8583690987124464,45.1,54.9,17.0,1.5,1.7,83036.0
1400000US37019020601,62.45337753833402,26.62660588479072,0.0,7.708246995441359,3.2117695814339,46.3,53.7,12.3,1.5,15.8,46683.0
1400000US37019020602,77.16623280029751,13.666790628486424,0.0,5.559687616214206,2.8263294905169207,46.7,53.3,14.4,2.2,14.8,44152.0
1400000US37019020603,69.87083208170621,20.48663262240913,0.0,7.479723640732954,1.6821868428957645,52.1,47.9,13.0,1.6,14.8,51667.0
1400000US37019990100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400000US37021000100,69.55017301038062,17.785467128027683,1.5224913494809689,6.228373702422145,4.290657439446367,63.3,36.7,24.8,0.6,10.1,22500.0
1400000US37021000200,61.12696148359487,26.176890156918688,2.4251069900142657,0.9985734664764622,9.272467902995722,51.1,48.9,16.5,2.3,9.6,50057.0
1400000US37021000300,73.58096828046745,20.617696160267112,1.669449081803005,1.961602671118531,2.1702838063439067,40.6,59.4,31.4,2.4,8.9,44551.0
1400000US37021000400,84.30366760707874,3.103359835855348,1.6414465247499357,4.693511156706848,6.25801487560913,43.9,56.1,20.3,4.0,9.1,39840.0
1400000US37021000500,92.75077268895755,1.2924978926664794,1.376791233492554,2.865973588086541,1.713964596796853,44.1,55.9,8.7,0.3,8.0,74438.0
1400000US37021000600,82.46926777124533,4.970603955104223,0.0,11.865312667022982,0.694815606627472,46.4,53.6,17.7,2.4,12.3,39844.0
1400000US37021000700,58.62928348909657,37.38317757009346,1.6822429906542056,0.3115264797507788,1.9937694704049844,55.0,45.0,8.9,0.9,13.5,46034.0
1400000US37021000800,74.78286045165025,14.620729588882456,0.0,8.97510133178923,1.6213086276780544,48.4,51.6,7.0,1.7,8.4,58594.0
1400000US37021000900,49.03204272363151,50.13351134846462,0.0,0.2670226969292389,0.5674232309746329,48.1,51.9,39.1,4.9,12.7,19730.0
1400000US37021001000,77.44751610891707,11.390563292454791,1.3926418623986696,6.235709831635834,3.53356890459364,48.5,51.5,22.2,2.2,14.0,56298.0
1400000US37021001100,80.89000538309708,10.461151982774089,4.091153777139781,3.732280638794186,0.8254082181948681,46.9,53.1,7.9,2.4,9.8,62851.0
1400000US37021001200,91.73975117275135,4.323883336732613,0.0,3.9363654905160095,0.0,56.0,44.0,4.4,2.3,9.2,54811.0
1400000US37021001300,75.69764886838057,7.558778290485607,0.6811689738519007,6.438145462535706,9.448472863107009,51.4,48.6,20.6,1.9,13.7,33594.0
1400000US37021001400,69.28057553956835,9.66906474820144,0.2302158273381294,18.41726618705036,2.402877697841727,47.8,52.2,8.0,3.5,21.1,35871.0
1400000US37021001500,72.15049797122833,1.364810033198082,3.651789007746219,20.84101807451125,1.3279232755440795,57.1,42.9,24.0,2.7,20.8,44514.0
1400000US37021001600,88.1332514583973,1.6426159042063249,0.7215228738102548,8.02886091495241,1.1667178385016888,49.2,50.8,16.1,2.6,7.7,70125.0
1400000US37021001700,92.08211143695014,4.948680351906158,0.5131964809384164,2.19941348973607,0.2565982404692082,47.1,52.9,10.4,1.2,9.0,74231.0
1400000US37021001801,84.39988204069596,10.704806841639634,0.383367738130345,1.3270421704511943,3.1849012090828666,47.4,52.6,10.3,0.7,7.6,38077.0
1400000US37021001802,83.95890952192809,8.494666139865666,0.316080600553141,4.938759383642829,2.2915843540102725,44.7,55.3,5.0,1.7,7.9,61875.0
1400000US37021001900,80.9009009009009,3.191763191763192,0.2831402831402831,13.925353925353926,1.698841698841699,46.3,53.7,13.6,1.1,12.7,47585.0
1400000US37021002000,68.74030406453615,25.34905367669873,0.6981073533974558,3.0251318647223084,2.187403040645361,45.9,54.1,16.3,2.0,17.1,41574.0
1400000US37021002101,94.87004103967168,0.0,1.3679890560875512,0.7523939808481532,3.009575923392613,49.8,50.2,3.2,0.5,1.1,176607.0
1400000US37021002102,63.362369337979096,16.16724738675958,0.2961672473867596,17.282229965156795,2.8919860627177703,46.6,53.4,19.7,2.6,11.3,39766.0
1400000US37021002203,60.80379318130503,15.195303680289005,1.7385414314743732,19.21426958681418,3.048092120117408,47.3,52.7,13.0,1.6,11.4,41392.0
1400000US37021002204,86.33238125462816,4.15741034592193,4.834444091822702,3.850629429810642,0.8251348778165662,46.0,54.0,1.7,0.1,4.4,61221.0
1400000US37021002205,80.353767215771,7.926005941128815,5.252497974615177,3.780718336483932,2.68701053200108,45.5,54.5,3.9,1.1,6.3,74941.0
1400000US37021002206,86.66390557051149,0.0,9.111617312072893,1.5738248084489543,2.277904328018223,41.8,58.2,9.1,1.0,2.1,57461.0
1400000US37021002301,88.7496356747304,1.8653453803555813,2.6668609734771205,5.027688720489653,1.6904692509472456,46.1,53.9,4.3,3.5,5.4,70769.0
1400000US37021002302,86.30329195898543,1.9751753912574204,2.245008094981112,8.591473286562332,0.8850512682137076,46.6,53.4,5.0,1.2,9.2,61345.0
1400000US37021002401,83.97837222538418,0.3130335799658509,0.0284575981787137,10.301650540694366,5.378486055776892,49.1,50.9,18.4,0.6,13.3,37547.0
