GEOID,Depression_prev,Med_income,percent_Poverty,percent_Unemployed,percent_Uninsured,percent_>=HighSch,percent_>=18,percent_Black,percent_Hispanic,Full_Service_Restaurant,Sport_facilities,Parks,Fastfood_Restaurant,Convenience,Supermarket,Warehouse,Fruit,TobaccoStore,DrinkingPlaces,total_visits,share_Full_Service_Restaurant,share_Sport_facilities,share_Parks,share_Fastfood_Restaurant,share_Convenience,share_Supermarket,share_Warehouse,share_Fruit,share_TobaccoStore,share_DrinkingPlaces,mobility_diversity
0500000US45021,22.2,41330.0,16.6,4.0,12.1,83.3,76.9,19.717457832182763,4.739876165397481,175004.0,18339.0,68119.0,219450.0,112868.0,69135.0,90864.0,7197.0,8798.0,10785.0,780559.0,0.2242034234439677,0.0234947005927803,0.0872695081345548,0.2811446668349222,0.1445989348659102,0.0885711394013777,0.1164088813273564,0.0092203151843742,0.0112714093361296,0.0138170208786267,1.8905270992307621
0500000US45023,20.6,46441.0,16.7,3.2,11.3,84.6,77.4,36.99377188361789,2.2371641929786508,88842.0,5468.0,33928.0,78698.0,47306.0,29917.0,73371.0,196.0,2574.0,10529.0,370829.0,0.2395767321326002,0.0147453408444323,0.0914923050786211,0.2122218057379546,0.1275682322579949,0.080675998910549,0.1978566940557507,0.0005285455021047,0.0069412047062122,0.0283931407737798,1.878225146019212
0500000US45025,19.6,45046.0,19.1,4.6,12.1,80.0,77.8,31.04340854426756,4.6340625357920056,100082.0,7067.0,24823.0,95635.0,70742.0,45499.0,80010.0,1627.0,2741.0,6312.0,434538.0,0.2303181770063838,0.0162632497042836,0.0571250385466863,0.2200843194381158,0.1627981902618413,0.1047066079376257,0.1841265896193198,0.0037442064905715,0.0063078487957324,0.0145257721994394,1.8595450560594329
0500000US45027,18.9,45542.0,18.4,5.2,10.4,79.8,80.7,46.15506279062412,3.2739695694809097,70028.0,6164.0,22935.0,93319.0,42033.0,32020.0,55972.0,3451.0,3107.0,15435.0,344464.0,0.2032955548330159,0.0178944679269822,0.0665817037484323,0.2709107482930001,0.1220243624878071,0.0929560128199173,0.1624901295926424,0.0100184634678805,0.0090198104881787,0.0448087463421431,1.93056675151063
0500000US45029,20.4,41419.0,17.0,3.4,14.0,86.0,77.5,35.92159916926272,3.6292834890965735,77124.0,9263.0,65986.0,79203.0,38642.0,39227.0,58903.0,379.0,1730.0,9212.0,379669.0,0.2031348358701921,0.0243975673547221,0.1737987562850799,0.2086106582312488,0.1017781277902594,0.1033189436061411,0.155143032483558,0.0009982379388361,0.0045566006179066,0.0242632398220555,1.9233176125905738
0500000US45031,21.4,40704.0,19.2,3.3,8.7,84.8,77.6,41.31130484132864,2.263805905443539,169444.0,35647.0,69890.0,178013.0,144102.0,66385.0,123170.0,6563.0,3126.0,15666.0,812006.0,0.2086733349260966,0.0438999219217592,0.0860707925803503,0.2192262126141925,0.1774642059295128,0.0817543220123989,0.1516860712851875,0.0080824525927148,0.0038497252483356,0.0192929608894515,1.9421514808411922
0500000US45033,21.2,39780.0,26.1,3.6,13.5,78.7,74.6,47.351631787429454,2.941073369088933,43624.0,6990.0,14268.0,65497.0,43949.0,39604.0,45567.0,792.0,1657.0,15217.0,277165.0,0.1573936103043313,0.0252196345137373,0.0514783612649504,0.236310500965129,0.1585661970306496,0.1428896144895639,0.1644038749481355,0.0028575036530586,0.0059783883246441,0.0549023145057997,1.9509856513012251
0500000US45035,20.5,68046.0,10.4,3.5,11.1,90.4,75.5,24.498688974903235,5.875265326507679,458147.0,97414.0,422963.0,304453.0,112661.0,190280.0,294670.0,820.0,18891.0,100675.0,2000974.0,0.2289619955081875,0.0486832912371675,0.2113785586419413,0.1521524017803329,0.0563030803998452,0.0950936893732752,0.1472632827812855,0.0004098004271919,0.0094409022805893,0.0503129975701833,1.9651089799166204
0500000US45037,19.7,55183.0,15.6,3.5,9.0,82.1,82.1,34.050427943557715,6.264939471046341,69423.0,5643.0,18725.0,60551.0,16430.0,27497.0,38354.0,60.0,2230.0,4099.0,243012.0,0.2856772505061478,0.0232210755024443,0.0770538080424012,0.2491687653284611,0.0676098299672444,0.1131507909074449,0.157827596991095,0.0002469013875857,0.0091765015719388,0.0168674797952364,1.8231041731343298
0500000US45039,18.7,41755.0,16.5,3.3,7.6,84.5,81.2,56.83470216180496,2.407250070801473,35088.0,2855.0,11709.0,44348.0,22451.0,21695.0,23240.0,144.0,464.0,3829.0,165823.0,0.2115991147187061,0.0172171532296484,0.0706114350843972,0.2674417903427148,0.1353913510188574,0.1308322729657526,0.1401494364472962,0.000868395819639,0.0027981643077257,0.0230908860652623,1.860239866880188
0500000US45041,19.8,51902.0,16.9,2.7,10.3,86.3,76.2,42.74818613595967,2.869401789096419,486707.0,50156.0,106984.0,473123.0,241927.0,201482.0,275388.0,8612.0,21925.0,64339.0,1930643.0,0.2520958043511928,0.0259789096171586,0.0554136627020117,0.2450598064996998,0.1253090291680025,0.1043600499937067,0.1426405606836686,0.004460690039536,0.0113563201482614,0.0333251667967614,1.9093735060008192
