GEOID,Depression_prev,Med_income,percent_Poverty,percent_Unemployed,percent_Uninsured,percent_>=HighSch,percent_>=18,percent_Black,percent_Hispanic,Full_Service_Restaurant,Sport_facilities,Parks,Fastfood_Restaurant,Convenience,Supermarket,Warehouse,Fruit,TobaccoStore,DrinkingPlaces,total_visits,share_Full_Service_Restaurant,share_Sport_facilities,share_Parks,share_Fastfood_Restaurant,share_Convenience,share_Supermarket,share_Warehouse,share_Fruit,share_TobaccoStore,share_DrinkingPlaces
0500000US45057,21.0,67407.0,11.9,2.8,8.5,87.9,78.3,19.91590335224452,5.944872323117069,354881.0,55412.0,86463.0,240436.0,106448.0,151438.0,156397.0,2454.0,25488.0,50744.0,1230161.0,0.2884833773790585,0.0450445104340001,0.07028592192404083,0.19545083936167704,0.08653176291558584,0.12310421156255157,0.1271353912211491,0.0019948608352890395,0.020719239189016723,0.04124988517763122
0500000US45059,23.4,46754.0,19.5,3.6,13.6,82.1,77.9,22.85697265741348,5.365759218442843,203545.0,13410.0,36450.0,232847.0,174550.0,63826.0,95885.0,760.0,7558.0,19776.0,848607.0,0.23985779047309297,0.01580236788053834,0.042952744910188106,0.27438731945411715,0.2056900308387746,0.07521267206139001,0.11299105475208195,0.0008955853534085861,0.008906360659292229,0.02330407361711605
0500000US45061,18.6,36195.0,20.2,3.7,11.3,82.3,80.7,62.45666467423789,2.55827854154214,27382.0,3502.0,8200.0,34699.0,18431.0,14692.0,20513.0,303.0,994.0,2282.0,130998.0,0.2090260920014046,0.02673323256843616,0.06259637551718347,0.2648819065939938,0.1406968045313669,0.1121543840363975,0.1565901769492664,0.0023130124124032428,0.007587902105375655,0.017420113284172277
0500000US45063,22.4,65623.0,11.2,3.0,9.6,90.4,76.8,14.856559133150284,6.31112390863936,1135113.0,264123.0,326490.0,1100815.0,433034.0,435906.0,519690.0,3650.0,28465.0,246851.0,4494137.0,0.25257641233455946,0.058770571524633095,0.07264798558655422,0.24494469127220644,0.09635531805105185,0.09699437289072407,0.11563732925809783,0.0008121692774385828,0.00633380780336692,0.05492734200136756
0500000US45065,17.1,53193.0,15.7,2.6,5.4,83.5,88.4,44.42821368948247,0.8034223706176963,14703.0,907.0,2655.0,12626.0,5904.0,7624.0,8191.0,16.0,352.0,2622.0,55600.0,0.26444244604316547,0.01631294964028777,0.04775179856115108,0.2270863309352518,0.10618705035971222,0.13712230215827337,0.1473201438848921,0.00028776978417266187,0.006330935251798561,0.04715827338129496
0500000US45067,19.1,34465.0,24.1,3.4,13.9,80.4,77.2,56.596248098698666,2.9778604022308603,47885.0,4378.0,10630.0,92669.0,37583.0,30617.0,45835.0,692.0,1472.0,9332.0,281093.0,0.17035287253684722,0.015574916486714361,0.03781666565869659,0.3296738090240596,0.13370308047514523,0.10892124670482722,0.16305991255563104,0.0024618186863422428,0.005236701020658643,0.033198976851077755
0500000US45069,20.1,32136.0,22.4,3.9,13.2,79.7,79.8,49.82164090368609,3.3219381688466108,27318.0,2628.0,20814.0,37068.0,29378.0,33160.0,32143.0,368.0,4984.0,3385.0,191246.0,0.14284220323562322,0.013741463873754222,0.1088336488083411,0.19382366167135523,0.15361367035127532,0.17338924735680747,0.16807148907689573,0.0019242232517281408,0.026060675778839817,0.017699716595379774
0500000US45071,20.6,50950.0,14.2,2.7,9.4,86.2,78.2,30.569208815601712,7.969980445008192,144318.0,9222.0,24638.0,139979.0,74401.0,37524.0,67207.0,168.0,872.0,20780.0,519109.0,0.27801097650011847,0.017765055123297804,0.047462093702863944,0.2696524236720997,0.14332442704711343,0.07228539670859106,0.1294660658936755,0.0003236314531244883,0.0016798013519318678,0.040030128547183734
0500000US45073,21.6,52842.0,16.2,3.3,10.3,86.1,80.1,7.007391058871837,5.717805266129447,236641.0,31494.0,47754.0,244691.0,81857.0,107278.0,118009.0,11199.0,2024.0,21888.0,902835.0,0.2621088017190295,0.034883450464370566,0.05289338583462094,0.27102515963603535,0.0906666223617826,0.11882348380379582,0.13070937657490017,0.012404259914602336,0.0022418271334186204,0.02424363255744405
0500000US45075,19.2,38052.0,21.8,5.1,10.6,84.3,77.9,61.597710490054055,2.363707027523584,127405.0,12451.0,49497.0,156674.0,92201.0,69623.0,89311.0,216.0,1454.0,41965.0,640797.0,0.1988227160863737,0.01943049046733989,0.07724287098722372,0.24449864777768934,0.1438848808593049,0.10865063350795962,0.1393748722294268,0.00033708022977635665,0.0022690493245130674,0.06548875853039263
0500000US45077,24.5,53188.0,20.5,2.5,9.1,86.6,81.0,6.280040426795868,4.011819437265174,579330.0,118395.0,125692.0,583293.0,209063.0,152694.0,263202.0,8631.0,15333.0,82255.0,2137888.0,0.2709823900971426,0.055379421185768385,0.058792602793036865,0.27283608870062415,0.09778950066607793,0.07142282476911793,0.12311309105060696,0.004037161909323594,0.007172031462826864,0.03847488736547471
0500000US45079,19.8,56137.0,15.9,3.9,9.2,91.8,78.4,46.9006725035506,5.428977211075451,1185546.0,309158.0,410865.0,1077540.0,338006.0,501730.0,455644.0,5634.0,24992.0,253098.0,4562213.0,0.259862045020695,0.06776492022621478,0.09005826777487154,0.23618800788126287,0.07408816729951012,0.10997513706615628,0.09987346053329821,0.0012349269970516501,0.0054780432215681294,0.05547702397937142
0500000US45081,20.8,46451.0,18.2,2.3,17.6,81.3,78.1,24.49494949494949,15.646043771043772,48975.0,3475.0,9478.0,44369.0,41115.0,13929.0,27356.0,64.0,508.0,8499.0,197768.0,0.24763864730391166,0.017571093402370456,0.04792484122810566,0.2243487318474172,0.20789510942113992,0.07043101007240807,0.13832369240726508,0.000323611504388981,0.002568666316087537,0.042974596496905465
0500000US45083,23.1,57627.0,12.7,3.1,10.2,87.5,76.6,20.19116408147084,7.319490559492542,1200003.0,204023.0,329163.0,1112621.0,525134.0,429164.0,531768.0,7646.0,46585.0,135852.0,4521959.0,0.2653723751144139,0.04511827727761353,0.07279212394451166,0.24604844935568854,0.11612975703671793,0.0949066543946993,0.11759682031615058,0.00169086008962045,0.010301950990709999,0.0300427314798741
0500000US45085,19.9,49040.0,15.8,4.6,11.4,88.1,75.8,46.017036679079375,4.205160275543174,309974.0,29500.0,98975.0,322745.0,121330.0,111509.0,153486.0,925.0,32944.0,31917.0,1213305.0,0.2554790427798451,0.024313754579433862,0.08157470710167683,0.26600483802506375,0.09999958790246476,0.0919051681151895,0.12650240458911816,0.0007623804402025872,0.02715228240219895,0.02630583406480646
0500000US45087,22.6,40048.0,18.7,4.9,11.2,82.8,78.5,29.748040723650483,1.7505310188237015,96103.0,25693.0,22859.0,96931.0,49988.0,23541.0,63952.0,217.0,1240.0,5431.0,385955.0,0.24900053115000453,0.06656993690974336,0.05922711196901193,0.25114585897319636,0.1295176898861266,0.060994157349950125,0.1656980736096177,0.0005622417121166975,0.0032128097835239858,0.014071588656708683
0500000US45089,19.3,40124.0,20.6,2.2,9.8,83.9,79.2,64.13568208702324,2.295469804021868,46907.0,2524.0,36738.0,64854.0,29031.0,29679.0,33673.0,256.0,1971.0,3746.0,249379.0,0.18809522854771252,0.010121140914030451,0.14731793775738936,0.26006199399307883,0.11641317031506261,0.11901162487619246,0.13502740808167488,0.0010265499500759887,0.007903632623436617,0.015021312941346305
0500000US45091,20.6,72234.0,8.4,3.3,8.5,91.6,75.7,18.790970788483165,6.031044694090806,1279566.0,282972.0,548982.0,912128.0,380148.0,345703.0,456111.0,9185.0,58598.0,246081.0,4519474.0,0.28312277048169765,0.06261171100884749,0.12147033039685591,0.20182171642098173,0.08411332823244475,0.07649186608884131,0.10092125765077971,0.0020323161500652507,0.012965668128636209,0.054449035440849974
