GEOID,nearest_hw_dist_m,hw_count_5km
1400000US37171930302,541.7188460090272,10
1400000US37179020902,12566.703398253077,0
1400000US37179021007,3034.310858305158,2
1400000US37067002807,3461.788083369165,5
1400000US37031970805,12057.058779532046,0
1400000US37171930102,2524.369372165476,2
1400000US37119003018,3800.0345989193247,3
1400000US37119003015,2671.512075872948,12
1400000US37107010100,5417.248668054648,0
1400000US37107011100,675.619571598062,2
1400000US37021002703,6603.634059234084,0
1400000US37021003104,6080.774892628218,0
1400000US37175960300,1582.8329350238876,3
1400000US37175960100,8162.896417165974,0
1400000US37067000400,962.2945084061205,40
1400000US37125950100,17866.97165828477,0
1400000US37125950701,3014.269767482092,2
1400000US37021002503,1961.6608388252137,1
1400000US37007920200,994.5703090824067,1
1400000US37127010602,763.040262503703,12
1400000US37147000201,972.3921875927247,17
1400000US37155960701,6789.030777458016,0
1400000US37163970302,21686.03275426869,0
1400000US37163970800,5089.546988690109,0
1400000US37067003002,2987.9063905140297,9
1400000US37165010101,2811.279001451243,3
1400000US37067001200,1610.8420433492254,44
1400000US37067003904,1630.6592629225786,19
1400000US37161961200,7439.501425601838,0
1400000US37147002002,10238.357689225046,0
1400000US37019020201,1057.8402873597277,9
1400000US37135012100,1121.2848914671674,18
1400000US37139960100,1083.5329115374668,7
1400000US37081016102,877.5848472785755,54
1400000US37083930700,16267.804399995674,0
1400000US37089931200,637.4907552130525,9
1400000US37071030901,606.6664208896817,10
1400000US37139960400,1341.5511486096684,6
1400000US37085070802,1025.9494092708328,1
1400000US37191001200,970.4724721360287,8
1400000US37051003103,1684.4276598339716,4
1400000US37139960300,946.0088447884233,8
1400000US37145920200,1252.1987708969732,1
1400000US37057061100,2382.8427728654706,10
1400000US37057060400,2498.994664534246,5
1400000US37109070201,922.7228491706464,8
1400000US37119000100,191.68252078885521,60
1400000US37063001711,57.809560574714304,16
1400000US37119002600,498.7047612694434,60
1400000US37191001800,1340.0164511982775,8
1400000US37031970802,3395.1802593019465,1
1400000US37191000700,2111.8415390795553,2
1400000US37151030100,931.7053036007502,8
1400000US37133000301,14040.52739564802,0
1400000US37023020801,4849.973444168837,1
1400000US37023021100,2212.8548508661383,15
1400000US37133000403,3775.5145423020826,1
1400000US37051001800,799.8046676709606,24
1400000US37087921100,2668.3804810054453,3
1400000US37087920600,3820.0646542802133,1
1400000US37133000102,4754.924042138783,1
1400000US37133000202,6331.612568564787,0
1400000US37183054104,1930.9692064540839,11
1400000US37119000300,150.59144718750687,57
1400000US37087921302,12489.850914851522,0
1400000US37087920500,7241.76002817889,0
1400000US37119005618,2058.91526092821,3
1400000US37071031704,4499.364228154987,1
1400000US37071031402,2144.667947551907,19
1400000US37085070100,2479.3772196933432,4
1400000US37147000400,1189.2761964183355,20
1400000US37189920100,9356.215950321239,0
1400000US37067003404,879.0760848626732,19
1400000US37133002300,4551.113336551924,1
1400000US37183053711,2123.867004184319,17
1400000US37119005524,1449.652663315948,25
1400000US37119006209,1018.0296549191622,8
1400000US37183053413,6801.7122539570655,0
1400000US37183053412,2901.4668395134454,3
1400000US37183053608,1475.3448159760355,32
1400000US37021002101,2726.183977168343,14
1400000US37193961001,8742.541569628374,0
1400000US37025041701,13534.459489677865,0
1400000US37193960802,4388.782944584659,1
1400000US37025041702,11374.771993277263,0
1400000US37105030602,6327.757473813761,0
1400000US37085070902,9373.347346191682,0
1400000US37119006210,2102.0024492380835,12
1400000US37119006103,5143.426309693846,0
1400000US37021001400,662.0510298239783,23
1400000US37129010502,1266.8761409037643,30
1400000US37085071204,10922.626165769929,0
1400000US37085071204,10922.626165769929,0
1400000US37085071201,12851.440046276228,0
1400000US37085071201,12851.440046276228,0
1400000US37093970402,8971.820838051905,0
1400000US37125950302,5703.302163835379,0
1400000US37151031304,2240.5200352625693,1
1400000US37141920602,6099.233283598339,0
1400000US37199960300,9147.706196817877,0
1400000US37077970102,10944.030571416562,0
1400000US37187950200,5599.14617197757,0
1400000US37183052503,1880.2693561620874,18
1400000US37193961100,1439.5841735339889,10
1400000US37119000500,323.72213071429707,64
1400000US37159051001,3583.5300991848735,2
1400000US37159051301,2126.4290832701904,2
1400000US37001020702,565.5211839474789,26
1400000US37001021801,5309.2148303550675,0
1400000US37001021801,5309.2148303550675,0
1400000US37001020501,1199.799496242287,19
1400000US37001021600,3942.1988076559087,6
1400000US37001021901,5559.794611935943,0
1400000US37063001601,2973.0562134192564,6
1400000US37001021803,9463.664120034144,0
1400000US37077970701,11375.167658939621,0
1400000US37067002502,1792.6095703029723,34
1400000US37057062001,4334.718695524149,1
1400000US37139960702,8571.213445389783,0
1400000US37051003405,2859.3099168943986,3
1400000US37013930501,3472.675490899751,1
1400000US37067001902,481.99525380749833,38
1400000US37089932000,8984.865099349568,0
1400000US37089931700,1822.0263898932856,4
1400000US37151031505,3331.954439368721,3
1400000US37087980100,22090.844355910278,0
1400000US37061090502,4333.585493712334,1
1400000US37183053003,491.15920471709785,11
1400000US37085070903,6879.111351948074,0
1400000US37155961100,1040.3490335914948,3
1400000US37135011203,11980.627940403161,0
1400000US37051000900,1317.703100031752,26
1400000US37077970602,6348.689580400795,0
1400000US37155960802,2572.5183086902834,5
1400000US37021001900,986.7849992062761,15
1400000US37127010300,2741.3538717418587,14
1400000US37167930101,3844.210240321803,1
1400000US37089930900,1097.781017866445,11
1400000US37081015500,1248.777997245852,6
1400000US37063002100,7792.301839409805,0
1400000US37025041302,3685.869947467502,1
1400000US37025040500,1871.0674554973941,3
1400000US37063002018,2330.4007095544384,14
1400000US37081012805,1045.860260289976,31
1400000US37051000500,697.678234968769,20
1400000US37153970600,1591.155087108268,3
1400000US37069060302,1150.9288464740023,3
1400000US37127011500,5690.44885837087,0
1400000US37109070700,7012.622164321065,0
1400000US37079950200,11021.488018225367,0
1400000US37119006203,2800.0859953548515,5
1400000US37053110200,5400.823815902166,0
1400000US37141920101,5139.963082473681,0
1400000US37133001400,1874.8327233487087,18
1400000US37017950300,14379.180349984514,0
